number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
1,HIGH JAGUAR DENSITIES AND LARGE POPULATION SIZES IN THE CORE HABITAT OF THE SOUTHWESTERN AMAZON,Tobler Mathias W.; Carrillo-Percastegui Samia E.; Zuniga Hartley Alfonso; Powell George V. N.,16,density,,,,,,jaguar,mammals,carnivore,,,,explicit cr model,ct,Peru,South and Central America,BIOLOGICAL CONSERVATION,MAR 2013,2013,159,,,
2,MONITORING THE STATUS AND TRENDS OF TROPICAL FOREST TERRESTRIAL VERTEBRATE COMMUNITIES FROM CAMERA TRAP DATA: A TOOL FOR CONSERVATION,Ahumada Jorge A.; Hurtado Johanna; Lizcano Diego,17,occupancy,,,,,,mammals,mammals,,,,,,,Costa Rica,South and Central America,PLOS ONE,SEP 4 2013,2013,8,9,,
3,USING MULTIPLE DATA SOURCES PROVIDES DENSITY ESTIMATES FOR ENDANGERED FLORIDA PANTHER,Sollmann Rahel; Gardner Beth; Chandler Richard B.; Shindle David B.; Onorato David P.; Royle Jeffrey Andrew; O'Connell Allan F.,18,density,,,,,,puma,mammals,carnivore,,,,spatial c-r,,USA,North America,JOURNAL OF APPLIED ECOLOGY,AUG 2013,2013,50,4,,
4,A SPATIAL MARK-RESIGHT MODEL AUGMENTED WITH TELEMETRY DATA,Sollmann Rahel; Gardner Beth; Parsons Arielle W.; Stocking Jessica J.; McClintock Brett T.; Simons Theodore R.; Pollock Kenneth H.; O'Connell Allan F.,22,methodology,statistics,,,,MultiObj,,,,,,,spatial c-r,,,,ECOLOGY,MAR 2013,2013,94,3,,
5,INTEGRATING RESOURCE SELECTION INFORMATION WITH SPATIAL CAPTURE-RECAPTURE,Royle J. Andrew; Chandler Richard B.; Sun Catherine C.; Fuller Angela K.,23,methodology,statistics,,,,MultiObj,,,,,,,spatial c-r,,,,METHODS IN ECOLOGY AND EVOLUTION,JUN 2013,2013,4,6,,
6,ESTIMATING JAGUAR DENSITIES WITH CAMERA TRAPS: PROBLEMS WITH CURRENT DESIGNS AND RECOMMENDATIONS FOR FUTURE STUDIES,Tobler Mathias W.; Powell George V. N.,29,methodology,design and density,,,,MultiObj,,,,,,,spatial c-r,,,,BIOLOGICAL CONSERVATION,MAR 2013,2013,159,,,
7,COMPARISON OF DENSITY ESTIMATION METHODS FOR MAMMAL POPULATIONS WITH CAMERA TRAPS IN THE KAA-IYA DEL GRAN CHACO LANDSCAPE,Noss A. J.; Gardner B.; Maffei L.; Cuellar E.; Montano R.; Romero-Munoz A.; Sollman R.; O'Connell A. F.,30,methodology,,,,,,,,,,,,,,,,ANIMAL CONSERVATION,,2012,2012,15,5,
8,HOW DOES SPATIAL STUDY DESIGN INFLUENCE DENSITY ESTIMATES FROM SPATIAL CAPTURE-RECAPTURE MODELS?,Sollmann Rahel; Gardner Beth; Belant Jerrold L.,32,methodology,,,,,,,,,,,,,,,,PLOS ONE,,2012,2012,7,4,
9,SPATIALLY EXPLICIT MODELS FOR INFERENCE ABOUT DENSITY IN UNMARKED OR PARTIALLY MARKED POPULATIONS,Chandler Richard B.; Royle J. Andrew,33,methodology,statistics,,,,MultiObj,,,,,,,spatial c-r,,,,ANNALS OF APPLIED STATISTICS,JUN 2013,2013,7,2,,
10,WHICH CAMERA TRAP TYPE AND HOW MANY DO I NEED? A REVIEW OF CAMERA FEATURES AND STUDY DESIGNS FOR A RANGE OF WILDLIFE RESEARCH APPLICATIONS,Rovero Francesco; Zimmermann Fridolin; Berzi Duccio; Meek Paul,34,methodology,camera model and design,,,,MultiObj,,,,,,,,,,,HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,2013,2013,24,2,,
