"","Word","Freq"
"189599","protect_area",1091
"4570","activ_pattern",569
"48325","conserv_plan",540
"228049","speci_rich",503
"155778","nation_park",401
"61844","densiti_estim",356
"142897","mammal_speci",337
"39633","climat_chang",293
"179479","popul_densiti",290
"64661","detect_probabl",281
"163097","occup_model",270
"264995","wild_boar",231
"110631","home_rang",221
"111306","human_activ",220
"200377","relat_abund",206
"82150","estim_densiti",204
"198067","red_fox",197
"180010","popul_size",194
"48235","conserv_manag",191
"131353","larg_mammal",186
"75082","ecosystem_servic",186
"223866","small_mammal",183
"185628","prey_speci",178
"106217","habitat_loss",174
"227049","speci_distribut",168
"224323","snow_leopard",167
"244248","threaten_speci",166
"131186","larg_carnivor",165
"242478","terrestri_mammal",163
"26258","biodivers_conserv",163
"226308","spatial_explicit",162
"82517","estim_popul",162
"19734","atlant_forest",156
"226424","spatial_scale",147
"48490","conserv_strategi",147
"143530","manag_plan",144
"215128","seed_dispers",140
"251163","tropic_forest",137
"227018","speci_detect",132
"226922","speci_conserv",132
"91147","feral_cat",132
"106636","habitat_type",131
"226296","spatial_distribut",121
"129981","land_cover",121
"40032","cloud_leopard",121
"226453","spatial_tempor",120
"33861","carnivor_speci",120
"47812","conserv_action",118
"79123","endang_speci",115
"72220","dri_season",115
"156189","natur_reserv",114
"81958","estim_abund",113
"27660","bird_speci",110
"111387","human_disturb",109
"225455","south_africa",106
"227992","speci_record",105
"125189","invas_speci",105
"48027","conserv_effort",105
"186301","prioriti_area",104
"143213","manag_conserv",104
"133679","leopard_panthera",104
"95359","forest_fragment",103
"16047","area_high",103
"254670","unit_state",101
"242400","terrestri_ecosystem",101
"1690","abund_estim",101
"56661","daili_activ",100
"27781","black_bear",99
"157890","nest_predat",98
"106572","habitat_suitabl",98
"47854","conserv_area",97
"182673","predat_risk",95
"164641","oil_palm",95
"242632","terrestri_vertebr",94
"191329","puma_concolor",94
"227053","speci_divers",93
"143679","manag_strategi",93
"64680","detect_rate",93
"142413","mammal_communiti",92
"97058","fox_vulp",92
"48558","conserv_valu",92
"179549","popul_estim",91
"75695","effect_conserv",91
"261647","vulp_vulp",90
"255471","urban_area",90
"95399","forest_habitat",90
"242482","terrestri_marin",88
"168828","panthera_pardus",88
"95215","forest_cover",88
"197628","record_speci",87
"156191","natur_resourc",85
"86842","explicit_capturerecaptur",85
"240384","target_speci",84
"147006","medium_larg",84
"33022","capturerecaptur_model",84
"27557","bird_mammal",84
"265451","wildlif_manag",83
"138994","low_densiti",83
"133514","leopard_cat",83
"48486","conserv_status",83
"265567","wildlif_speci",82
"69644","distribut_model",82
"29728","brown_bear",82
"26816","biolog_divers",81
"227399","speci_includ",80
"179519","popul_dynam",80
"95051","forest_area",80
"67792","direct_observ",80
"54971","critic_endang",80
"264422","whitetail_deer",79
"198076","red_list",79
"142073","male_femal",79
"51952","coral_reef",79
"28292","bodi_size",79
"236029","suitabl_habitat",78
"226905","speci_composit",78
"168827","panthera_onca",78
"223790","small_carnivor",77
"162980","occup_detect",77
"95654","forest_patch",77
"32891","captur_rate",77
"159237","nocturn_activ",76
"155950","nativ_speci",76
"142364","mammal_bird",76
"111526","human_popul",76
"106048","habitat_fragment",76
"177380","plant_speci",75
"113607","identifi_individu",75
"71583","domest_dog",75
"48350","conserv_prioriti",75
"238325","sus_scrofa",74
"135779","line_transect",74
"15706","area_conserv",74
"265507","wildlif_popul",73
"127136","jaguar_panthera",73
"69812","distribut_speci",73
"227321","speci_habitat",72
"245384","tiger_panthera",71
"168831","panthera_tigri",71
"157293","negat_impact",71
"156090","natur_habitat",71
"106417","habitat_qualiti",71
"80629","environment_variabl",71
"26426","biodivers_loss",71
"213393","scr_model",70
"120270","individu_speci",70
"64765","detect_speci",70
"259803","vertebr_speci",69
"225538","southeast_asia",69
"175900","pine_marten",68
"74243","ecolog_process",68
"2065","abund_speci",68
"250531","tree_speci",67
"161324","number_speci",67
"106507","habitat_select",67
"1650","abund_densiti",67
"259357","veget_type",66
"228372","speci_use",66
"47948","conserv_concern",66
"23988","bear_ursus",66
"239394","systemat_conserv",65
"179473","popul_declin",65
"12616","anim_speci",65
"241786","tempor_overlap",64
"198062","red_deer",64
"27257","biospher_reserv",64
"245400","tiger_popul",63
"242438","terrestri_habitat",63
"186696","probabl_detect",63
"120009","individu_identifi",63
"108920","high_level",63
"88768","factor_influenc",63
"48518","conserv_target",63
"245275","tiger_densiti",62
"241705","tempor_activ",62
"202056","remot_sens",62
"115875","import_conserv",62
"95939","forest_type",62
"69700","distribut_pattern",62
"226382","spatial_pattern",60
"226241","spatial_capturerecaptur",60
"191415","puma_puma",60
"143241","manag_decis",60
"106383","habitat_prefer",60
"33532","carnivor_communiti",60
"228122","speci_show",59
"133812","leopardus_pardali",59
"120008","individu_identif",59
"82686","estim_speci",59
"74859","ecosystem_function",59
"71579","domest_cat",59
"32880","captur_probabl",59
"137227","local_peopl",58
"130799","landscap_scale",58
"111443","human_impact",58
"67061","differ_speci",58
"41034","collect_data",58
"26373","biodivers_hotspot",58
"13435","apex_predat",58
"215249","seed_remov",57
"176781","plan_manag",57
"172079","pattern_speci",57
"143104","manag_action",57
"93894","focal_speci",57
"66754","differ_habitat",57
"163145","occup_probabl",56
"145128","marten_mart",56
"95758","forest_reserv",56
"12464","anim_movement",56
"237516","survey_conduct",55
"214741","secondari_forest",55
"194183","rang_size",55
"155985","natur_area",55
"152153","monitor_program",55
"144613","marin_protect",55
"130093","land_manag",55
"94607","food_resourc",55
"80483","environment_condit",55
"264661","wide_rang",54
"205304","resourc_manag",54
"155892","nativ_forest",54
"140014","lynx_lynx",54
"95525","forest_manag",54
"95478","forest_landscap",54
"13152","anthropogen_disturb",54
"12519","anim_popul",54
"236409","sun_bear",53
"215233","seed_predat",53
"151288","model_use",53
"143061","mammalian_speci",53
"106565","habitat_structur",53
"75973","effect_manag",53
"16355","area_network",53
"265066","wild_pig",52
"227967","speci_rang",52
"227903","speci_present",52
"227777","speci_occurr",52
"220062","sign_survey",52
"179637","popul_growth",52
"144642","marin_terrestri",52
"131011","landus_chang",52
"118252","increas_number",52
"106348","habitat_patch",52
"79311","endem_speci",52
"69044","distanc_sampl",52
"265312","wildlif_conserv",51
"256847","use_spatial",51
"245423","tiger_reserv",51
"162994","occup_estim",51
"136689","live_trap",51
"116253","import_role",51
"100615","general_linear",51
"34572","cat_feli",51
"17780","artifici_nest",51
"10716","among_speci",51
"228174","speci_speci",50
"138655","loss_fragment",50
"102064","global_biodivers",50
"60077","deer_odocoileus",50
"18516","assess_effect",50
"16535","area_protect",50
"6040","adult_male",50
"263590","wet_season",49
"243065","test_whether",49
"227578","speci_mammal",49
"192912","raccoon_dog",49
"177743","play_import",49
"126872","iucn_red",49
"100438","gene_flow",49
"47884","conserv_biodivers",49
"32173","cani_latran",49
"7591","agricultur_landscap",49
"262223","water_sourc",48
"242592","terrestri_speci",48
"183758","presenc_absenc",48
"98990","function_divers",48
"42593","communiti_composit",48
"29995","buffer_zone",48
"16763","area_speci",48
"3715","across_site",48
"242334","terrestri_aquat",47
