"","Word","Freq"
"189599","protect_area",1091
"142897","mammal_speci",337
"131353","larg_mammal",186
"75082","ecosystem_servic",186
"223866","small_mammal",183
"131186","larg_carnivor",165
"242478","terrestri_mammal",163
"226922","speci_conserv",132
"129981","land_cover",121
"226453","spatial_tempor",120
"33861","carnivor_speci",120
"27660","bird_speci",110
"242400","terrestri_ecosystem",101
"242632","terrestri_vertebr",94
"75695","effect_conserv",91
"242482","terrestri_marin",88
"156191","natur_resourc",85
"240384","target_speci",84
"147006","medium_larg",84
"27557","bird_mammal",84
"26816","biolog_divers",81
"227399","speci_includ",80
"67792","direct_observ",80
"142073","male_femal",79
"51952","coral_reef",79
"28292","bodi_size",79
"223790","small_carnivor",77
"155950","nativ_speci",76
"142364","mammal_bird",76
"177380","plant_speci",75
"135779","line_transect",74
"157293","negat_impact",71
"80629","environment_variabl",71
"26426","biodivers_loss",71
"120270","individu_speci",70
"64765","detect_speci",70
"259803","vertebr_speci",69
"74243","ecolog_process",68
"250531","tree_speci",67
"161324","number_speci",67
"259357","veget_type",66
"228372","speci_use",66
"12616","anim_speci",65
"241786","tempor_overlap",64
"242438","terrestri_habitat",63
"108920","high_level",63
"88768","factor_influenc",63
"202056","remot_sens",62
"226382","spatial_pattern",60
"33532","carnivor_communiti",60
"228122","speci_show",59
"82686","estim_speci",59
"74859","ecosystem_function",59
"130799","landscap_scale",58
"67061","differ_speci",58
"41034","collect_data",58
"13435","apex_predat",58
"172079","pattern_speci",57
"93894","focal_speci",57
"12464","anim_movement",56
"237516","survey_conduct",55
"214741","secondari_forest",55
"144613","marin_protect",55
"94607","food_resourc",55
"80483","environment_condit",55
"264661","wide_rang",54
"12519","anim_popul",54
"151288","model_use",53
"143061","mammalian_speci",53
"227967","speci_rang",52
"227903","speci_present",52
"227777","speci_occurr",52
"220062","sign_survey",52
"144642","marin_terrestri",52
"131011","landus_chang",52
"118252","increas_number",52
"69044","distanc_sampl",52
"136689","live_trap",51
"116253","import_role",51
"100615","general_linear",51
"17780","artifici_nest",51
"10716","among_speci",51
"228174","speci_speci",50
"102064","global_biodivers",50
"18516","assess_effect",50
"6040","adult_male",50
"243065","test_whether",49
"227578","speci_mammal",49
"177743","play_import",49
"100438","gene_flow",49
"262223","water_sourc",48
"242592","terrestri_speci",48
"183758","presenc_absenc",48
"98990","function_divers",48
"42593","communiti_composit",48
"29995","buffer_zone",48
"16763","area_speci",48
"3715","across_site",48
"242334","terrestri_aquat",47
"218202","sex_ratio",47
"211158","sampl_method",47
"120151","individu_per",47
"100998","genet_divers",47
"78817","encount_rate",47
"260852","visit_rate",46
"255717","urgent_need",46
"237960","survey_site",46
"211266","sampl_site",46
"185342","prey_avail",46
"144560","marin_ecosystem",46
"131383","larg_number",46
"101302","geograph_rang",46
"92490","first_time",46
"91481","field_survey",46
"28266","bodi_mass",46
"6006","adult_femal",46
"237577","survey_effort",45
"144563","marin_environ",45
"143029","mammalian_carnivor",45
"137919","log_forest",45
"135816","linear_model",45
"242351","terrestri_biodivers",44
"227307","speci_group",44
"219465","show_signific",44
"190427","provid_inform",44
"151074","model_predict",44
"121695","inform_system",44
"121339","inform_conserv",44
"115286","imperfect_detect",44
"113411","identifi_area",44
"101280","geograph_inform",44
"88650","factor_affect",44
"33786","carnivor_popul",44
"190430","provid_insight",43
"176033","pitfal_trap",43
"108791","high_densiti",43
"249313","trap_detect",42
"227821","speci_particular",42
"226606","speci_across",42
"190416","provid_import",42
"65289","determin_whether",42
"3681","across_rang",42
"249571","trap_monitor",41
"240809","taxonom_group",41
"227027","speci_differ",41
"226017","space_time",41
"161173","number_individu",41
"134853","life_histori",41
"81992","estim_anim",41
"157259","negat_affect",40
"129954","land_chang",40
"42362","common_speci",40
"238248","surviv_rate",39
"226385","spatial_plan",39
"222877","six_speci",39
"155907","nativ_mammal",39
"151100","model_provid",39
"101266","geograph_distribut",39
"61940","densiti_individu",39
"262188","water_qualiti",38
"227776","speci_occur",38
"226378","spatial_overlap",38
